,Country,Happiness,GDP per Capita,Social Support,Life Expectancy,Freedom,Corruption,Generosity,Year,latitude,longitude
193,France,6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,2020,46.227638,2.213749
194,France,6.69,10.704,0.942,74.0,0.822,-0.147,0.571,2021,46.227638,2.213749
195,Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2015,-38.416097,-63.616672
196,Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,2016,-38.416097,-63.616672
197,Argentina,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888,2017,-38.416097,-63.616672
198,Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2018,-38.416097,-63.616672
199,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2019,-38.416097,-63.616672
200,Argentina,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,2020,-38.416097,-63.616672
201,Argentina,5.929,9.962,0.898,69.0,0.828,-0.182,0.834,2021,-38.416097,-63.616672
202,Czech Republic,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2015,49.817492,15.472962
203,Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2016,49.817492,15.472962
204,Czech Republic,6.609000206,1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,0.036872927,2017,49.817492,15.472962
205,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2018,49.817492,15.472962
206,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2019,49.817492,15.472962
207,Czech Republic,6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,2020,49.817492,15.472962
208,Czech Republic,6.965,10.556,0.947,70.807,0.858,-0.208,0.868,2021,49.817492,15.472962
209,Uruguay,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2015,-32.522779,-55.765835
210,Uruguay,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2016,-32.522779,-55.765835
211,Uruguay,6.453999996,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,2017,-32.522779,-55.765835
